Parameters,LR,Val RMSE,Val MAE,Test RMSE,Val MAE
2018_48_12_10_2_0.1_64_30,0.0282,0.1413,0.1188,0.1377,0.1164
2018_48_12_10_2_0.1_128_30,0.0282,0.1072,0.0772,0.0867,0.0671
2018_48_12_10_2_0.3_64_30,0.0282,0.1228,0.0946,0.1002,0.0824
2018_48_12_10_2_0.3_128_30,0.0282,0.0968,0.0698,0.095,0.0687
2018_48_12_10_4_0.1_64_30,0.0891,0.2053,0.1648,0.1486,0.1222
2018_48_12_10_4_0.1_128_30,0.0891,0.1969,0.1589,0.1435,0.1196
2018_48_12_10_4_0.3_64_30,0.0891,0.1529,0.1285,0.1522,0.1243
2018_48_12_10_4_0.3_128_30,0.0891,0.1604,0.1345,0.1249,0.11
2018_48_12_10_8_0.1_64_30,0.0794,0.1504,0.128,0.1337,0.1134
2018_48_12_10_8_0.1_128_30,0.0794,0.2497,0.2103,0.2897,0.2589
2018_48_12_10_8_0.3_64_30,0.0794,0.4323,0.4063,0.4834,0.4668
2018_48_12_10_8_0.3_128_30,0.0794,0.1891,0.1529,0.1379,0.1166
2018_48_12_30_2_0.1_64_30,0.0178,0.1234,0.1047,0.1164,0.0978
2018_48_12_30_2_0.1_128_30,0.0178,0.1284,0.1098,0.1218,0.104
2018_48_12_30_2_0.3_64_30,0.1413,0.1687,0.1387,0.1846,0.1505
2018_48_12_30_2_0.3_128_30,0.1413,0.1533,0.1288,0.153,0.1248
2018_48_12_30_4_0.1_64_30,0.0079,0.1066,0.0893,0.1085,0.0828
2018_48_12_30_4_0.1_128_30,0.0079,0.1512,0.1345,0.1426,0.1227
2018_48_12_30_4_0.3_64_30,0.0079,0.1209,0.0862,0.1161,0.09
2018_48_12_30_4_0.3_128_30,0.0079,0.0945,0.0679,0.103,0.0767
2018_48_12_30_8_0.1_64_30,0.0079,0.1745,0.143,0.1299,0.1122
2018_48_12_30_8_0.1_128_30,0.0079,0.1522,0.1278,0.1553,0.1255
2018_48_12_30_8_0.3_64_30,0.0141,0.3038,0.2686,0.3492,0.3256
2018_48_12_30_8_0.3_128_30,0.0141,0.1616,0.1351,0.1256,0.1106
2018_48_12_60_2_0.1_64_30,0.0079,0.1328,0.1107,0.1168,0.0983
2018_48_12_60_2_0.1_128_30,0.0079,0.1203,0.1,0.1162,0.0976
2018_48_12_60_2_0.3_64_30,0.0079,0.1722,0.1547,0.1795,0.1633
2018_48_12_60_2_0.3_128_30,0.0079,0.1194,0.1017,0.0913,0.0789
