Parameters,LR,Val RMSE,Val MAE,Test RMSE,Val MAE
2018_96_12_30_4_0.3_64_30,0.0891,0.1572,0.1322,0.1296,0.1118
2018_96_24_10_8_0.1_64_30,0.0355,0.156,0.1319,0.1255,0.1102
2018_96_24_30_8_0.1_128_30,0.0089,0.154,0.1306,0.1264,0.1106
2018_96_24_10_8_0.1_64_30,0.0355,0.156,0.1319,0.1255,0.1102
2018_96_12_10_8_0.1_64_30,0.0447,0.1525,0.1296,0.1288,0.111
2018_96_12_30_4_0.3_128_30,0.0891,0.1645,0.137,0.1253,0.1106
2018_96_24_30_4_0.3_64_30,0.0141,0.0921,0.0728,0.0944,0.0748
2018_96_12_10_4_0.3_128_30,0.0794,0.1733,0.1424,0.128,0.1116
2018_96_24_10_2_0.1_128_30,0.02,0.0994,0.0801,0.0906,0.0723
2018_96_24_60_4_0.3_128_30,0.0056,0.1624,0.1428,0.1376,0.1195
